STT,Nhom,Cau hoi chinh,Bien the (cach ngan ; ),Cau tra loi,Tag
11,A,Nhà hàng có chỗ để chụp ảnh cưới/pre-wedding không?,Có cho chụp hình cưới ở đây không?,"Dạ, không gian nhà hàng và khu vực rạp sự kiện đều được trang trí đẹp, phù hợp chụp ảnh lưu niệm trong ngày tiệc. Muốn chụp pre-wedding riêng, vui lòng liên hệ trước.",chup_anh
12,A,Nhà hàng có fanpage nào để xem thêm hình ảnh?,Có Facebook không ạ? ; Xem hình tiệc thực tế ở đâu?,"Dạ, anh/chị có thể theo dõi Fanpage ""Nhà Hàng Tiệc Cưới THIỆN NGA"" để xem hình ảnh, video tiệc thực tế và cập nhật ưu đãi mới nhất.",fanpage
13,A,Ai sẽ tư vấn và phụ trách tiệc của mình từ đầu đến cuối?,Có nhân viên riêng phụ trách tiệc của em không?,"Dạ có ạ, mọi tiệc sẽ có nhân viên tư vấn/điều phối phụ trách xuyên suốt từ khâu lên thực đơn, trang trí đến ngày diễn ra tiệc.",nhan_su_phu_trach
14,B,Muốn đặt tiệc cưới thì cần chuẩn bị/cung cấp thông tin gì?,Đặt tiệc cần thông tin gì? ; Em muốn đặt bàn tiệc cưới thì làm sao?,"Dạ anh/chị vui lòng cho em xin: ngày giờ tổ chức dự kiến, số lượng bàn/khách mời, loại tiệc, thực đơn hoặc mức giá mong muốn và số điện thoại liên hệ. Nhà hàng sẽ tư vấn chi tiết và giữ lịch cho mình.",quy_trinh_dat_tiec
15,B,Cần đặt tiệc trước bao lâu thì được?,Đặt trước mấy tháng vậy? ; Sát ngày cưới còn đặt được không?,"Dạ, nên đặt tiệc trước khoảng 1–3 tháng, đặc biệt vào mùa cưới cao điểm (cuối năm, đầu năm). Trường hợp đặt gấp, cứ liên hệ hotline để kiểm tra lịch trống.",thoi_gian_dat_truoc
16,B,Làm sao để biết ngày mình chọn còn trống hay đã có người đặt?,Ngày 20/12 còn trống không ạ?,"Dạ anh/chị cho em xin ngày giờ dự kiến tổ chức tiệc, em sẽ kiểm tra lịch và phản hồi ngay trong hôm nay.",kiem_tra_lich_trong
17,B,Đặt tiệc qua điện thoại có được giữ chỗ luôn không hay phải đặt cọc mới giữ?,Nhắn tin đặt trước có giữ bàn không?,"Dạ, nhà hàng sẽ tạm giữ lịch khi nhắn tin/gọi điện đặt trước, tuy nhiên để chắc chắn giữ chỗ (đặc biệt ngày đẹp, cao điểm) nên hoàn tất đặt cọc theo hướng dẫn.",giu_cho
18,B,Số lượng bàn tối thiểu/tối đa để nhận tổ chức tiệc là bao nhiêu?,Đặt ít bàn có nhận không? ; Tối đa tổ chức được bao nhiêu bàn?,"Dạ nhà hàng nhận tổ chức tiệc linh hoạt theo nhu cầu, từ tiệc gia đình vài bàn đến tiệc cưới quy mô lớn tại khu vực rạp sự kiện ngoài trời.",so_luong_ban
19,B,Có thể thay đổi số lượng bàn sau khi đã đặt không?,Đặt rồi có tăng thêm bàn được không?,"Dạ được ạ, anh/chị có thể điều chỉnh số bàn tăng/giảm, nên báo trước ít nhất 2–3 ngày để nhà hàng chuẩn bị nguyên liệu và sắp xếp không gian phù hợp.",thay_doi_so_ban
20,B,Đặt tiệc cưới và tiệc sinh nhật/liên hoan quy trình có khác nhau không?,Đặt tiệc sinh nhật có giống đặt tiệc cưới không?,"Dạ quy trình tương tự nhau: cho ngày giờ, số bàn, loại tiệc và thực đơn mong muốn, nhà hàng sẽ báo giá và tư vấn trang trí phù hợp theo từng loại tiệc.",quy_trinh_khac
21,B,"Có thể đặt tiệc vào các ngày lễ, Tết không?",Tết có nhận tiệc không?,"Dạ có ạ, tuy nhiên vào ngày lễ Tết lượng khách đặt tiệc thường rất đông, nên liên hệ đặt lịch càng sớm càng tốt.",dat_tiec_ngay_le
22,B,"Có thể vừa đặt tiệc cưới vừa đặt luôn trang trí, mâm quả, gia tiên trong 1 lần không?",Đặt trọn gói 1 lần luôn được không?,"Dạ được ạ, đây chính là thế mạnh của Thiện Nga – dịch vụ cưới hỏi trọn gói gồm nhà hàng, nấu tiệc, rạp sự kiện, lễ gia tiên, mâm quả, decor theo concept yêu cầu.",goi_tron_goi
23,B,"Sau khi đặt tiệc, bao lâu thì nhà hàng xác nhận lại thông tin?",Đặt xong có ai gọi lại xác nhận không?,"Dạ, sau khi cung cấp thông tin và đặt cọc, nhân viên phụ trách sẽ liên hệ xác nhận chi tiết và nhắc lịch trước ngày tổ chức.",xac_nhan_dat_tiec
24,B,Có thể đặt tiệc giúp người thân ở xa không?,Con đặt giúp ba mẹ ở xa được không?,"Dạ được ạ, có thể trao đổi và đặt tiệc từ xa qua điện thoại/Facebook, nhà hàng sẽ gửi hình ảnh không gian, thực đơn tham khảo qua website.",dat_ho_tu_xa
25,B,Nhà hàng có nhận nấu tiệc tại nhà khách không?,Có nấu tiệc tại nhà không ạ?,"Dạ, nhà hàng có nhận nấu tiệc và phục vụ lưu động tùy khu vực và quy mô, vui lòng liên hệ hotline để trao đổi cụ thể địa điểm, số lượng bàn.",nau_tiec_luu_dong
26,B,Có cần đặt tiệc bằng văn bản/hợp đồng không?,Có ký hợp đồng không ạ?,"Dạ với tiệc quy mô lớn, nhà hàng có thể lập phiếu đặt tiệc/biên nhận ghi rõ thông tin thực đơn, số bàn, giá tiền, tiền cọc để hai bên yên tâm.",hop_dong
27,C,Giá mỗi bàn tiệc cưới là bao nhiêu?,1 bàn tiệc cưới giá nhiêu vậy? ; Đặt 1 bàn tốn bao nhiêu tiền? ; giá 1 bàn 10 người bao nhiêu,"Dạ giá bàn còn tùy thuộc vào anh/chị chọn dịch vụ nào bên em ạ — anh/chị đãi tại nhà, dựng rạp, hay đãi tại nhà hàng? Nếu theo 40 thực đơn cưới trọn gói có sẵn, giá chia 3 mức: 2.200.000đ / 2.300.000đ / 2.400.000đ cho bàn 10 người, mỗi thực đơn gồm 1 khai vị + 3 món chính + 1 lẩu + 1 tráng miệng. Anh/chị cho em xin ngân sách dự kiến để em tư vấn thực đơn phù hợp ạ.",gia_ban_tiec
28,C,"Nhà hàng có báo giá rõ ràng, minh bạch không?",Giá có rõ ràng không hay giấu giá?,"Dạ nhà hàng luôn báo giá minh bạch – quán không giấu giá. Chỉ cần cho biết ngân sách, nhà hàng sẽ lên thực đơn phù hợp, không dư không thiếu.",minh_bach_gia
29,C,Giá các món ăn lẻ trong thực đơn quán nhậu dao động khoảng bao nhiêu?,Món ăn giá bao nhiêu?,"Dạ các món khai vị/gỏi/salad dao động khoảng 49.000đ – 119.000đ/món; các món hải sản chế biến như mực, tôm, hàu... khoảng 119.000đ – 199.000đ/món; riêng hải sản tươi sống được tính theo Kg hoặc giá thị trường (TTG) tại thời điểm đặt.",gia_mon_le
30,C,"Giá có bao gồm bàn ghế, khăn trải bàn, chén đũa không?",Giá đã gồm bàn ghế chưa?,"Dạ giá tiệc thường đã bao gồm bàn ghế, khăn trải bàn, chén đũa phục vụ cơ bản. Yêu cầu thêm về decor, khăn ghế theo concept riêng sẽ được báo giá phụ thu riêng.",gia_bao_gom_gi
31,C,"Giá tiệc có bao gồm nước ngọt, bia, rượu không?",Nước uống có tính riêng không?,"Dạ tùy theo thỏa thuận, nước ngọt/trà đá thường tính kèm hoặc tính riêng theo số lượng sử dụng thực tế; bia, rượu thường tính riêng theo đơn giá từng loại.",gia_nuoc_uong
32,C,Có phụ thu gì thêm ngoài giá bàn không?,Có phát sinh phí gì không?,"Dạ tùy theo yêu cầu cụ thể (âm thanh ánh sáng, MC, trang trí đặc biệt, phục vụ ngoài giờ...) có thể phát sinh phụ thu tương ứng. Nhà hàng sẽ báo trước đầy đủ để anh/chị chủ động ngân sách.",phu_thu
33,C,Đặt càng nhiều bàn có được giảm giá không?,Đặt tiệc lớn có ưu đãi không?,"Dạ với tiệc số lượng bàn lớn, nhà hàng thường có chính sách hỗ trợ/ưu đãi thêm (tùy thời điểm và chương trình khuyến mãi hiện hành). Anh/chị liên hệ hotline để được tư vấn mức ưu đãi cụ thể.",chiet_khau_so_luong
34,C,Giá có thay đổi theo mùa cưới cao điểm không?,Mùa cưới giá có tăng không?,"Dạ giá món ăn cơ bản thường ổn định, tuy nhiên vào mùa cao điểm một số hải sản tươi sống theo giá thị trường (TTG) có thể biến động. Nhà hàng sẽ báo giá chính xác tại thời điểm đặt tiệc.",gia_theo_mua
35,C,Có thể xin bảng giá/menu chi tiết để tham khảo trước không?,Cho em xin bảng giá được không?,"Dạ được ạ, xem thực đơn và giá tham khảo tại mục Thực Đơn trên nhahangthiennga.com, hoặc nhắn hotline để gửi bảng giá chi tiết theo nhu cầu.",xin_bang_gia
36,C,Có gói tiệc trọn gói theo mức giá cố định không?,Có set menu theo giá cố định không?,"Dạ có ạ, nhà hàng có các gợi ý thực đơn (set menu) theo từng mức ngân sách phổ biến, đồng thời vẫn linh hoạt điều chỉnh món theo sở thích và ngân sách riêng.",set_menu_co_dinh
37,C,Giá tiệc trẻ em/mâm cỗ chay có khác giá thường không?,Trẻ em có giảm giá không?,Dạ nhà hàng có thể chuẩn bị suất ăn trẻ em hoặc mâm cỗ chay riêng theo yêu cầu với mức giá tương ứng.,gia_tre_em_chay
38,C,Nếu ngân sách hạn chế thì nhà hàng có tư vấn thực đơn tiết kiệm không?,Ngân sách ít có làm tiệc được không?,"Dạ được ạ, đúng theo phương châm ""không giấu giá – nói ngân sách, lên thực đơn phù hợp"", dù ngân sách cao hay vừa phải, nhà hàng đều tư vấn thực đơn cân đối, đúng số tiền đưa ra, không phát sinh thêm.",tu_van_ngan_sach
39,C,Thanh toán giá tiệc là theo số bàn thực tế hay theo số bàn đặt trước?,Đặt dư bàn mà không dùng hết có bị tính tiền không?,"Dạ thông thường sẽ thanh toán theo số bàn đã xác nhận đặt trước, nếu có thay đổi số bàn thực tế nên báo sớm để được điều chỉnh hợp lý.",thanh_toan_theo_ban
40,D,Thực đơn nhà hàng có những món gì?,Menu có gì vậy ạ? ; Quán có món gì ngon?,"Dạ thực đơn của Thiện Nga rất đa dạng: các món hải sản (mực, tôm, cá, hàu...), gỏi/salad, bê thui tái chanh, chả giò hải sản và nhiều món khác. Xem đầy đủ tại mục Thực Đơn trên nhahangthiennga.com.",menu_tong_quan
41,D,Có món đặc sản/signature riêng của quán không?,Món nào ngon nhất quán vậy?,"Dạ một số món được khách yêu thích gồm mực lá nướng muối ớt, bê thui tái chanh, gỏi hải sản củ hủ dừa và các món hải sản tươi theo giá thị trường.",mon_dac_san
42,D,"Hải sản ở đây có tươi sống không, nguồn gốc từ đâu?",Hải sản có tươi không ạ?,"Dạ nhà hàng ở khu vực ven biển Vạn Ninh – Khánh Hòa nên hải sản được ưu tiên nguồn tươi sống theo ngày, đảm bảo chất lượng cho các món chế biến và tiệc cưới.",nguon_goc_hai_san
43,D,Có thể tự chọn món để ghép thành thực đơn riêng không?,Em muốn tự chọn món được không?,"Dạ được ạ, hoàn toàn có thể tự chọn món theo sở thích để ghép thực đơn riêng, hoặc chọn nhanh theo gợi ý set có sẵn rồi điều chỉnh thêm/bớt món.",tu_chon_mon
44,D,Có thể đổi món trong thực đơn đã chọn trước ngày tiệc không?,Chọn rồi có đổi lại được không?,"Dạ được ạ, nên báo thay đổi trước ít nhất 2–3 ngày để nhà hàng kịp chuẩn bị nguyên liệu tươi ngon nhất.",doi_mon_truoc_ngay
45,D,Nhà hàng có phục vụ món chay không?,Có món chay không ạ?,"Dạ có ạ, nhà hàng có thể chuẩn bị mâm/suất ăn chay riêng cho khách có nhu cầu, vui lòng báo trước số lượng suất chay khi đặt tiệc.",mon_chay
46,D,Có thực đơn riêng cho trẻ em không?,Có suất ăn cho bé không?,"Dạ có ạ, nhà hàng có thể chuẩn bị suất ăn phù hợp khẩu vị trẻ em (ít cay, dễ ăn) theo yêu cầu.",mon_tre_em
47,D,Nếu khách bị dị ứng hải sản thì có thực đơn thay thế không?,Khách dị ứng hải sản thì sao?,"Dạ vui lòng báo trước cho nhà hàng biết khách nào bị dị ứng để đầu bếp chuẩn bị món thay thế phù hợp, đảm bảo an toàn.",di_ung_thuc_pham
48,D,Số món trong 1 bàn tiệc cưới thường là bao nhiêu món?,1 bàn có mấy món ạ?,"Dạ tùy theo mức giá và yêu cầu, một bàn tiệc cưới thường có khoảng 6–10 món (khai vị, món chính, canh/súp, xào, tráng miệng...).",so_mon_1_ban
49,D,Có thể xem hình ảnh món ăn thực tế trước khi đặt không?,Có hình món ăn thật không?,"Dạ có ạ, xem hình ảnh từng món tại mục Thực Đơn trên website hoặc trên Fanpage Facebook.",hinh_anh_mon_an
50,D,Món tính theo Kg/giá thị trường (TTG) là như thế nào?,TTG là gì vậy ạ?,"Dạ một số hải sản tươi sống có giá biến động theo thị trường từng ngày nên được ghi là ""Tính theo Kg/TTG"". Khi đặt tiệc, nhà hàng sẽ báo giá chính xác tại thời điểm đặt.",giai_thich_TTG
51,D,Nhà hàng có phục vụ đồ uống không hay khách tự mang?,Bia rượu quán có bán không?,"Dạ nhà hàng có phục vụ đầy đủ bia, nước ngọt, nước suối theo yêu cầu. Khách muốn tự mang riêng thì trao đổi trước với nhà hàng.",do_uong
52,D,Có thể nếm thử món trước khi đặt tiệc số lượng lớn không?,Cho nếm thử món trước được không?,"Dạ với tiệc số lượng lớn, có thể liên hệ trước để nhà hàng sắp xếp cho nếm thử một số món chính.",nem_thu_mon
53,D,Món ăn có thể mang về (take-away) không?,Đặt món mang về được không?,"Dạ có ạ, nhà hàng có phục vụ hình thức mang về/takeaway cho một số món.",mang_ve
54,D,Đồ ăn thừa sau tiệc khách có được mang về không?,Đồ ăn dư có gói mang về được không?,"Dạ được ạ, nhà hàng sẵn sàng hỗ trợ đóng gói phần thức ăn còn dư sau tiệc để khách mời mang về nếu gia đình có nhu cầu.",do_an_thua
55,D,Nhà hàng có tư vấn thực đơn theo phong tục vùng miền không?,Làm tiệc theo phong tục miền Bắc được không?,"Dạ nhà hàng linh hoạt tư vấn thực đơn phù hợp với phong tục, khẩu vị từng vùng miền theo yêu cầu của gia đình.",thuc_don_vung_mien
56,E,"Đặt tiệc có cần đặt cọc không, đặt cọc bao nhiêu?",Cọc bao nhiêu tiền vậy ạ? ; Có bắt buộc đặt cọc không?,"Dạ để giữ chỗ chắc chắn, đặc biệt vào ngày cao điểm, nhà hàng có áp dụng đặt cọc giữ bàn. Mức cọc cụ thể tùy theo quy mô tiệc, liên hệ hotline để được hướng dẫn đặt cọc qua chuyển khoản/QR.",muc_dat_coc
57,E,"Đặt cọc bằng cách nào, có thể chuyển khoản không?",Chuyển khoản đặt cọc được không?,"Dạ được ạ, nhà hàng hỗ trợ đặt cọc qua chuyển khoản/quét mã QR rất nhanh gọn.",chuyen_khoan_qr
58,E,Nếu hủy tiệc thì tiền cọc có được hoàn lại không?,Hủy tiệc có mất cọc không?,Dạ chính sách hoàn/không hoàn cọc khi hủy tiệc sẽ tùy thời điểm hủy trước ngày tổ chức bao lâu. Anh/chị liên hệ hotline để được tư vấn cụ thể chính sách áp dụng.,hoan_coc_khi_huy
59,E,"Thanh toán phần còn lại vào lúc nào, trước hay sau tiệc?",Thanh toán hết khi nào ạ?,Dạ thông thường phần còn lại sẽ được thanh toán vào cuối buổi tiệc hoặc theo thỏa thuận cụ thể lúc đặt bàn.,thoi_diem_thanh_toan
60,E,Có thể thanh toán bằng tiền mặt không hay chỉ chuyển khoản?,Trả tiền mặt được không?,"Dạ nhà hàng nhận cả tiền mặt và chuyển khoản/QR, chọn hình thức nào thuận tiện nhất đều được.",hinh_thuc_thanh_toan
61,E,Nhà hàng có xuất hóa đơn VAT không?,Có xuất hóa đơn để không?,"Dạ vui lòng liên hệ trực tiếp hotline để trao đổi về nhu cầu xuất hóa đơn, nhà hàng sẽ hỗ trợ tư vấn cụ thể theo quy định hiện hành.",hoa_don_vat
62,E,Có thể thanh toán trước một phần rồi trả góp phần còn lại không?,Có cho trả góp không ạ?,"Dạ có thể trao đổi trực tiếp với nhà hàng về việc chia đợt thanh toán (cọc giữ chỗ, thanh toán thêm trước ngày tiệc, tất toán sau tiệc).",chia_dot_thanh_toan
63,E,Nếu số bàn thực tế ít hơn số đã đặt cọc thì tính tiền thế nào?,Đặt cọc 20 bàn mà chỉ dùng 18 bàn thì sao?,Dạ nên báo sớm cho nhà hàng trước ngày tiệc để được điều chỉnh và tính toán hợp lý phần chênh lệch.,chenh_lech_so_ban
64,E,Có được yêu cầu biên nhận/phiếu xác nhận đặt cọc không?,Cọc xong có giấy biên nhận không?,"Dạ có ạ, khi đặt cọc anh/chị sẽ được nhà hàng xác nhận qua tin nhắn/phiếu ghi rõ thông tin ngày tiệc, số bàn và số tiền đã cọc.",bien_nhan_dat_coc
65,E,"Phí phát sinh ngoài dự kiến (thêm bàn, thêm món) thanh toán như thế nào?",Phát sinh thêm bàn trả tiền lúc nào?,Dạ các khoản phát sinh thêm trong ngày tiệc sẽ được nhân viên ghi nhận và tổng hợp thanh toán cùng lúc quyết toán cuối tiệc.,thanh_toan_phat_sinh
66,E,Đặt cọc rồi có cần đến tận nơi ký giấy tờ không?,Cọc online có cần lên ký giấy không?,"Dạ với tiệc thông thường, chuyển khoản/cọc online kèm xác nhận thông tin qua tin nhắn là đủ. Tiệc quy mô lớn có thể hẹn gặp trực tiếp để xác nhận thêm nếu cần.",ky_giay_to
67,F,Nhà hàng có thể chứa tối đa bao nhiêu bàn/khách?,Sức chứa tối đa bao nhiêu bàn?,Dạ nhà hàng có cả khu vực trong nhà và rạp sự kiện ngoài trời nên có thể linh hoạt bố trí cho tiệc từ quy mô nhỏ đến tiệc cưới lớn. Anh/chị cho biết số khách/bàn dự kiến để em tư vấn khu vực phù hợp nhất.,suc_chua
68,F,Có khu vực rạp ngoài trời riêng cho tiệc cưới không?,Có dựng rạp ngoài trời không?,"Dạ có ạ, nhà hàng có dịch vụ cho thuê/dựng rạp sự kiện để tổ chức tiệc cưới ngoài trời, kết hợp trang trí theo concept yêu cầu.",rap_su_kien
69,F,Nhà hàng có tự trang trí (decor) tiệc theo concept yêu cầu không?,Muốn decor theo chủ đề được không?,"Dạ có ạ, nhà hàng nhận trang trí theo concept yêu cầu của gia đình (tông màu, phong cách, hoa trang trí, backdrop cổng cưới...).",decor_concept
70,F,"Có sẵn backdrop/cổng cưới, bàn ký tên, bàn tiếp khách không?",Có cổng hoa cưới không?,"Dạ có ạ, nhà hàng có thể chuẩn bị backdrop, cổng cưới, bàn ký tên, bàn tiếp khách... theo yêu cầu.",backdrop
71,F,"Có hệ thống âm thanh, ánh sáng, sân khấu cho tiệc cưới không?",Có loa đài không ạ?,"Dạ nhà hàng có hỗ trợ âm thanh, ánh sáng và sân khấu cơ bản cho lễ cưới. Cần dàn chuyên nghiệp hơn thì nhà hàng có thể liên kết đơn vị đối tác hỗ trợ thêm.",am_thanh_anh_sang
72,F,Bóng kích nổ trang trí là dịch vụ như thế nào?,Bóng kích nổ là gì vậy?,"Dạ đây là dịch vụ trang trí bằng bóng bay tạo hiệu ứng (thả bóng, kích nổ bóng...) giúp không gian tiệc thêm lung linh, ấn tượng, thường dùng cho tiệc cưới, sinh nhật.",bong_kich_no
73,F,Có thể mang trang trí/hoa cưới riêng từ bên ngoài vào không?,Tự mang hoa trang trí vào được không?,"Dạ hoàn toàn có thể tự chuẩn bị hoa/trang trí riêng hoặc thuê đơn vị decor bên ngoài, nhà hàng vẫn hỗ trợ sắp xếp không gian phối hợp.",mang_decor_ngoai
74,F,Không gian có máy lạnh/điều hòa không hay chỉ có quạt?,Trong nhà có máy lạnh không?,"Dạ khu vực trong nhà hàng có quạt/hệ thống làm mát, khu vực rạp ngoài trời sẽ thoáng mát tự nhiên.",may_lanh_quat
75,F,"Có khu vực riêng để cô dâu chú rể thay đồ, trang điểm không?",Có phòng thay đồ cho cô dâu không?,"Dạ nhà hàng có thể sắp xếp khu vực riêng tư để cô dâu chú rể chuẩn bị, thay trang phục trước giờ lễ.",phong_chuan_bi
76,F,Nhà hàng có hỗ trợ dọn dẹp sau tiệc không?,Ăn xong ai dọn vậy ạ?,"Dạ nhân viên nhà hàng sẽ phụ trách dọn dẹp sau tiệc, gia đình không cần lo phần này.",don_dep_sau_tiec
77,F,Có thể xem trước không gian thực tế qua video/hình ảnh không?,Có video quay không gian không?,Dạ có thể xem hình ảnh và video tiệc cưới thực tế đã tổ chức tại nhà hàng trên Fanpage Facebook và website.,xem_video_khong_gian
78,F,Nhà hàng có phục vụ tiệc trong nhà khi trời mưa không (dự phòng)?,Mưa thì tiệc ngoài trời sao ạ?,"Dạ nhà hàng luôn có phương án dự phòng khi thời tiết xấu, có thể chuyển một phần hoặc toàn bộ tiệc vào khu vực trong nhà.",du_phong_troi_mua
79,F,Có chỗ đặt bàn thờ gia tiên tại nhà hàng không nếu tổ chức lễ tại đây?,Làm lễ gia tiên tại nhà hàng được không?,"Dạ tùy theo yêu cầu, nhà hàng có thể hỗ trợ bố trí khu vực làm lễ, tuy nhiên lễ gia tiên truyền thống thường được tổ chức tại nhà riêng, nhà hàng có đội ngũ hỗ trợ chuẩn bị mâm lễ, mâm quả mang đến tận nơi.",le_gia_tien_tai_nha_hang
80,F,Nhà hàng có chỗ giữ trẻ em/khu vui chơi cho bé không?,Có chỗ chơi cho trẻ con không?,"Dạ hiện khu vực chủ yếu phục vụ không gian tiệc, nếu gia đình có trẻ nhỏ đi cùng có thể trao đổi trước để nhà hàng hỗ trợ sắp xếp bàn/ghế phù hợp.",khu_vui_choi_tre_em
81,G,Dịch vụ cưới hỏi trọn gói của nhà hàng gồm những gì?,Trọn gói cưới hỏi gồm gì vậy?,"Dạ gói cưới hỏi trọn gói của Thiện Nga gồm: cho thuê nhà hàng/rạp sự kiện, nấu tiệc đãi khách, chuẩn bị lễ gia tiên, mâm quả, trang trí (decor) theo concept yêu cầu, và có thể hỗ trợ thêm bóng kích nổ trang trí.",goi_tron_goi_chi_tiet
82,G,"Mâm quả cưới hỏi có bao nhiêu loại, giá thế nào?",Mâm quả có mấy tráp?,"Dạ nhà hàng nhận chuẩn bị mâm quả theo phong tục vùng miền (5, 6, 7, 9 tráp...) tùy yêu cầu gia đình. Anh/chị cho biết số tráp và phong cách mong muốn để em tư vấn và báo giá cụ thể.",mam_qua
83,G,Lễ gia tiên nhà hàng hỗ trợ những gì?,Gia tiên gồm những gì vậy?,"Dạ nhà hàng hỗ trợ chuẩn bị mâm lễ gia tiên (trái cây, xôi gà/heo quay, trầu cau, rượu trà...) và có thể tư vấn nghi thức truyền thống phù hợp phong tục từng vùng miền.",gia_tien
84,G,"Nhà hàng có cho thuê áo dài, vest, trang phục cưới không?",Có thuê áo dài không ạ?,"Dạ hiện dịch vụ chính của nhà hàng tập trung vào nhà hàng, nấu tiệc, gia tiên, mâm quả và decor. Về trang phục cưới, vui lòng liên hệ hotline để nhà hàng tư vấn xem có đơn vị đối tác hỗ trợ hay không.",cho_thue_trang_phuc
85,G,Nhà hàng có dịch vụ chụp ảnh/quay phim cưới không?,Có ekip quay chụp không ạ?,"Dạ vui lòng liên hệ hotline để nhà hàng tư vấn cụ thể, hiện tại nhà hàng có thể hỗ trợ giới thiệu/liên kết đơn vị chụp ảnh, quay phim theo yêu cầu.",chup_anh_quay_phim
86,G,Nhà hàng có cung cấp MC dẫn chương trình tiệc cưới không?,Có MC cho tiệc cưới không?,Dạ nhà hàng có thể hỗ trợ hoặc giới thiệu MC dẫn chương trình cho lễ cưới nếu gia đình có nhu cầu.,mc_dan_chuong_trinh
